20000,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.001,
40000,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,
60000,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,
80000,0.002,0.0,0.001,0.001,0.001,0.008,0.001,0.001,0.0,0.001,
100000,0.074,0.001,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,
120000,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.0,0.0,0.0,
140000,0.003,0.001,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.001,
160000,0.024,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,
180000,0.001,0.0,0.0,0.0,0.011,0.0,0.001,0.0,0.001,0.0,
200000,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,
220000,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.016,0.0,
240000,0.0,0.017,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,
260000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
280000,0.023,0.142,0.022,0.004,0.003,0.003,0.003,0.003,0.003,0.003,
300000,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
320000,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,
340000,0.0,0.0,0.024,0.001,0.0,0.001,0.0,0.0,0.001,0.001,
360000,0.0,0.0,0.0,0.01,0.001,0.0,0.0,0.001,0.0,0.0,
380000,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
400000,0.013,0.0,0.0,0.001,0.0,0.01,0.001,0.0,0.0,0.0,
