20000,0.799,0.728,0.714,0.74,0.775,1.064,0.743,0.686,0.7,0.836,
40000,1.769,1.823,1.809,1.918,1.961,1.943,1.977,1.814,1.837,1.948,
60000,3.02,3.008,3.007,3.239,3.267,3.234,3.255,3.034,3.01,3.251,
80000,4.11,4.098,4.01,4.421,4.468,4.357,4.351,4.025,4.011,4.352,
100000,5.311,4.976,5.003,5.522,5.51,5.454,5.552,5.015,5.019,5.456,
120000,5.816,6.076,6.101,6.807,6.74,6.687,6.761,6.168,6.058,6.681,
140000,17.998,14.501,15.068,17.854,17.765,18.645,19.06,15.954,14.692,18.543,
160000,33.689,26.177,26.069,31.761,32.024,31.127,28.812,26.303,25.852,31.932,
180000,29.973,29.987,29.83,37.853,38.692,37.641,30.732,29.605,29.97,37.192,
200000,34.12,32.428,32.461,41.012,42.335,43.019,32.499,33.287,32.524,40.31,
220000,38.6,37.391,36.204,45.48,44.532,44.261,36.604,35.554,36.008,47.446,
240000,42.447,39.938,39.711,51.069,50.55,50.858,39.95,39.769,39.343,50.712,
260000,45.212,41.568,42.423,54.246,55.539,54.503,42.085,42.691,42.712,55.829,
280000,45.862,44.99,43.311,56.641,56.961,56.252,44.864,43.996,43.579,56.039,
300000,48.717,47.239,47.589,59.995,60.892,61.147,48.035,47.587,56.002,61.095,
320000,53.699,49.927,50.682,63.488,66.511,64.528,51.596,50.164,65.035,64.227,
340000,54.19,53.491,67.34,69.778,69.997,70.31,54.472,54.805,70.535,68.829,
360000,56.296,57.278,75.712,72.737,72.695,72.167,58.901,57.677,74.323,72.435,
380000,59.512,59.968,77.289,77.418,77.685,78.674,60.491,59.521,79.175,76.192,
400000,64.182,62.838,80.788,80.22,81.005,82.075,62.992,62.057,81.015,81.258,
