1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,
125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
216.0,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.001,
343.0,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.0,
512.0,0.002,0.001,0.0,0.0,0.001,0.001,0.002,0.0,0.001,0.001,
729.0,0.005,0.003,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.001,
1000.0,0.006,0.005,0.004,0.004,0.003,0.004,0.004,0.004,0.003,0.003,
1331.0,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.004,
1728.0,0.019,0.013,0.011,0.01,0.01,0.011,0.01,0.01,0.01,0.01,
2197.0,0.01,0.009,0.009,0.008,0.008,0.008,0.009,0.009,0.008,0.009,
2744.0,0.037,0.028,0.035,0.025,0.026,0.025,0.026,0.025,0.026,0.026,
3375.0,0.032,0.02,0.027,0.019,0.018,0.019,0.018,0.018,0.019,0.019,
4096.0,0.044,0.031,0.041,0.03,0.028,0.028,0.029,0.028,0.028,0.029,
4913.0,0.115,0.098,0.092,0.089,0.09,0.089,0.089,0.088,0.088,0.089,
5832.0,0.074,0.073,0.072,0.068,0.068,0.066,0.069,0.068,0.068,0.068,
6859.0,0.187,0.183,0.175,0.174,0.172,0.172,0.172,0.17,0.17,0.172,
8000.0,0.18,0.149,0.141,0.14,0.138,0.14,0.139,0.137,0.153,0.139,
